2.55	0	0.99585	2.39	0.0497925
2.55	15	0.92174	2.39	0.046087
2.55	30	0.76218	2.39	0.038109
2.55	45	0.59227	2.39	0.0296135
2.55	60	0.56613	2.39	0.0283065
2.55	75	0.6692	2.39	0.03346
2.55	90	0.85566	2.39	0.042783
2.55	105	0.96293	2.39	0.0481465
2.55	120	0.97873	2.39	0.0489365
2.55	135	0.90057	2.39	0.0450285
2.55	150	0.76844	2.39	0.038422
2.55	165	0.66332	2.39	0.033166
2.97	0	1	2.39	0.05
2.97	15	0.88698	2.39	0.044349
2.97	30	0.60173	2.39	0.0300865
2.97	45	0.358	2.39	0.0179
2.97	60	0.27202	2.39	0.013601
2.97	75	0.28355	2.39	0.0141775
2.97	90	0.35321	2.39	0.0176605
2.97	105	0.32952	2.39	0.016476
2.97	120	0.26857	2.39	0.0134285
2.97	135	0.1931	2.39	0.009655
2.97	150	0.12595	2.39	0.0062975
2.97	165	0.08785	2.39	0.0043925
4.36	0	0.97929	2.39	0.0489645
4.36	15	0.87476	2.39	0.043738
4.36	30	0.5984	2.39	0.02992
4.36	45	0.37175	2.39	0.0185875
4.36	60	0.27351	2.39	0.0136755
4.36	75	0.22084	2.39	0.011042
4.36	90	0.24066	2.39	0.012033
4.36	105	0.2729	2.39	0.013645
4.36	120	0.27836	2.39	0.013918
4.36	135	0.25688	2.39	0.012844
4.36	150	0.22095	2.39	0.0110475
4.36	165	0.18296	2.39	0.009148
5.01	0	1	2.39	0.05
5.01	15	0.84751	2.39	0.0423755
5.01	30	0.57312	2.39	0.028656
5.01	45	0.31938	2.39	0.015969
5.01	60	0.27843	2.39	0.0139215
5.01	75	0.27261	2.39	0.0136305
5.01	90	0.32047	2.39	0.0160235
5.01	105	0.28363	2.39	0.0141815
5.01	120	0.30255	2.39	0.0151275
5.01	135	0.38962	2.39	0.019481
5.01	150	0.53661	2.39	0.0268305
5.01	165	0.65882	2.39	0.032941
5.26	0	1	2.39	0.05
5.26	15	0.93695	2.39	0.0468475
5.26	30	0.7089	2.39	0.035445
5.26	45	0.49543	2.39	0.0247715
5.26	60	0.32933	2.39	0.0164665
5.26	75	0.29106	2.39	0.014553
5.26	90	0.33336	2.39	0.016668
5.26	105	0.34882	2.39	0.017441
5.26	120	0.41176	2.39	0.020588
5.26	135	0.49533	2.39	0.0247665
5.26	150	0.57695	2.39	0.0288475
5.26	165	0.61527	2.39	0.0307635
6.37	0	1	2.39	0.05
6.37	15	0.93052	2.39	0.046526
6.37	30	0.80125	2.39	0.0400625
6.37	45	0.65557	2.39	0.0327785
6.37	60	0.61096	2.39	0.030548
6.37	75	0.58081	2.39	0.0290405
6.37	90	0.59608	2.39	0.029804
6.37	105	0.59486	2.39	0.029743
6.37	120	0.58343	2.39	0.0291715
6.37	135	0.52267	2.39	0.0261335
6.37	150	0.46797	2.39	0.0233985
6.37	165	0.44636	2.39	0.022318
