0.	1.340	0.544
0.	1.750	0.344
0.	1.885	0.327
0.	1.999	0.345
0.	2.257	0.474
0.	2.548	0.386
0.	2.69	0.373
0.	2.787	0.455
0.	2.97	1.303
0.	3.061	1.778
0.	3.22	4.66
0.	3.267	6.06
0.	3.498	3.566
0.	3.674	1.004
0.	3.73	0.776
0.	3.83	0.521
0.	3.870	0.405
0.	3.987	0.310
0.	4.178	0.313
0.	4.357	0.331
0.	4.508	0.379
0.	4.650	0.356
0.	4.713	0.444
0.	4.859	0.761
0.	4.914	1.399
0.	4.985	1.876
0.	5.013	3.725
0.	5.07	2.196
0.	5.085	1.573
0.	5.113	2.356
0.	5.264	0.776
0.	5.287	0.605
0.	5.375	0.500
0.	5.522	0.502
0.	5.656	0.829
0.	5.767	0.874
0.	5.902	0.894
0.	6.003	0.621
0.	6.068	0.413
0.	6.241	0.384
0.	6.368	0.347
0.	6.435	0.440
0.	6.670	0.839
0.	6.770	1.153
0.	6.971	0.632
0.	7.272	0.510
0.	7.471	0.492
0.	7.573	0.619
0.	7.874	0.492
0.	7.96	0.573
1.	1.340	-0.168
1.	1.750	0.045
1.	1.885	0.124
1.	1.999	0.140
1.	2.257	0.361
1.	2.548	0.249
1.	2.69	0.332
1.	2.787	0.337
1.	2.97	0.764
1.	3.061	0.908
1.	3.22	1.71
1.	3.267	1.54
1.	3.498	-0.190
1.	3.674	-0.196
1.	3.73	-0.054
1.	3.83	-0.129
1.	3.870	-0.091
1.	3.987	-0.051
1.	4.178	-0.096
1.	4.357	-0.144
1.	4.508	-0.187
1.	4.650	-0.116
1.	4.713	-0.137
1.	4.859	0.018
1.	4.914	0.128
1.	4.985	0.448
1.	5.013	1.228
1.	5.07	0.730
1.	5.085	0.571
1.	5.113	0.829
1.	5.264	0.528
1.	5.287	0.465
1.	5.375	0.419
1.	5.522	0.442
1.	5.656	0.650
1.	5.767	0.386
1.	5.902	0.329
1.	6.003	0.204
1.	6.068	0.151
1.	6.241	0.174
1.	6.368	0.157
1.	6.435	0.222
1.	6.670	0.348
1.	6.770	0.395
1.	6.971	0.193
1.	7.272	-0.021
1.	7.471	-0.213
1.	7.573	-0.190
1.	7.874	-0.036
1.	7.96	-0.014
2.	1.340	0.195
2.	1.750	0.045
2.	1.885	0.094
2.	1.999	0.104
2.	2.257	0.069
2.	2.548	0.084
2.	2.69	0.093
2.	2.787	-0.0065
2.	2.97	-0.756
2.	3.061	-0.990
2.	3.22	-3.60
2.	3.267	-4.76
2.	3.498	-2.330
2.	3.674	-0.324
2.	3.73	-0.167
2.	3.83	0.047
2.	3.870	0.192
2.	3.987	0.201
2.	4.178	0.278
2.	4.357	0.315
2.	4.508	0.325
2.	4.650	0.354
2.	4.713	0.337
2.	4.859	0.653
2.	4.914	1.248
2.	4.985	1.807
2.	5.013	3.619
2.	5.07	1.888
2.	5.085	1.280
2.	5.113	2.116
2.	5.264	0.795
2.	5.287	0.664
2.	5.375	0.598
2.	5.522	0.647
2.	5.656	1.080
2.	5.767	1.063
2.	5.902	1.262
2.	6.003	0.892
2.	6.068	0.597
2.	6.241	0.569
2.	6.368	0.440
2.	6.435	0.560
2.	6.670	0.777
2.	6.770	1.009
