0.	2.900	1.00
0.	3.989	0.833
0.	4.210	0.748
0.	4.396	0.783
0.	4.650	0.971
0.	4.859	0.623
0.	4.985	0.385
0.	5.113	0.400
0.	5.276	0.702
0.	5.385	0.689
0.	5.522	0.673
0.	5.656	0.848
0.	5.797	1.156
0.	5.902	1.628
0.	6.003	2.598
0.	6.241	4.077
0.	6.368	2.116
0.	6.435	2.281
0.	6.770	0.832
0.	7.471	0.794
0.	7.96	0.494
1.	3.989	0.187
1.	4.210	0.167
1.	4.396	0.123
1.	4.650	0.091
1.	4.859	0.250
1.	4.985	0.229
1.	5.113	0.286
1.	5.276	0.559
1.	5.385	0.460
1.	5.522	0.327
1.	5.656	0.503
1.	5.797	0.675
1.	5.902	1.135
1.	6.003	1.713
1.	6.241	3.385
1.	6.368	1.522
1.	6.435	2.180
1.	6.770	0.896
1.	7.471	0.744
1.	7.96	0.612
2.	3.989	-0.180
2.	4.210	-0.123
2.	4.396	-0.113
2.	4.650	0.060
2.	4.859	0.100
2.	4.985	0.114
2.	5.113	0.193
2.	5.276	0.429
2.	5.385	0.477
2.	5.522	0.439
2.	5.656	0.580
2.	5.797	0.468
2.	5.902	0.703
2.	6.003	0.736
2.	6.241	0.442
2.	6.368	0.441
2.	6.435	-0.225
2.	6.770	0.176
2.	7.471	0.147
2.	7.96	0.337
3.	3.989	-0.044
3.	4.210	0.060
3.	4.396	0.016
3.	4.650	-0.448
3.	4.859	-0.377
3.	4.985	-0.104
3.	5.113	-0.094
3.	5.276	-0.300
3.	5.385	-0.217
3.	5.522	-0.072
3.	5.656	-0.106
3.	5.797	-0.307
3.	5.902	-0.399
3.	6.003	-0.989
3.	6.241	-2.173
3.	6.368	-1.225
3.	6.435	-1.539
3.	6.770	-0.342
3.	7.471	-0.315
3.	7.96	-0.088
4.	3.989	0.204
4.	4.210	0.148
4.	4.396	0.191
4.	4.650	0.326
4.	4.859	0.331
4.	4.985	0.292
4.	5.113	0.183
4.	5.276	-0.228
4.	5.385	-0.161
4.	5.522	-0.106
4.	5.656	-0.266
4.	5.797	-0.359
4.	5.902	-0.662
4.	6.003	-1.172
4.	6.241	-1.596
4.	6.368	-0.748
4.	6.435	-0.843
4.	6.770	-0.337
4.	7.471	-0.194
4.	7.96	-0.088
5.	4.859	0.074
5.	4.985	0.134
5.	5.113	0.057
5.	5.276	-0.139
5.	5.385	-0.134
5.	5.522	-0.144
5.	5.656	-0.266
5.	5.797	-0.519
5.	5.902	-0.973
5.	6.003	-1.425
5.	6.241	-1.942
5.	6.368	-0.428
5.	6.435	-0.494
5.	6.770	-0.140
5.	7.471	0.118
5.	7.96	-0.102
6.	4.985	-0.048
6.	5.113	-0.026
6.	5.276	-0.023
6.	5.385	-0.114
6.	5.522	-0.116
6.	5.656	-0.293
6.	5.797	-0.113
6.	5.902	-0.432
6.	6.003	-0.460
6.	6.241	-1.192
6.	6.368	-0.468
6.	6.435	-0.360
6.	6.770	-0.085
6.	7.471	-0.166
6.	7.96	-0.083
7.	6.368	-0.211
7.	7.471	-0.127
7.	7.96	-0.081
8.	5.0	0.0
