 1.50         5.2
 1.55         7.8
 1.60        18.5
 1.65        30.6
 1.70        55.3
 1.75        91.6
 1.80       171.2
 1.85       254.1
 1.90       301.7
 1.95       294.9
 2.00       240.2
 2.05       201.8
 2.10       183.4
 2.15       166.9
 2.20       179.1
 2.25       192.5
 2.30       179.9
 2.35       165.1
 2.40       167.2
 2.45       169.2
 2.50       179.9
 2.55       197.0
 2.60       203.9
 2.65       197.0
 2.70       179.9
 2.75       162.7
 2.80       149.7
 2.85       144.7
 2.90       134.3
 2.95       122.9
 3.00       110.1
 3.05        99.5
 3.10       101.2
 3.15       101.1
 3.20        96.4
 3.25        92.1
 3.30        91.2
 3.35        97.8
 3.40       103.2
 3.45       107.6
 3.50       116.9
 3.55       132.1
 3.60       154.9
 3.65       172.0
 3.70       176.5
 3.75       191.8
 3.80       213.8
 3.85       230.7
 3.90       259.7
 3.95       335.7
 4.00       547.6
 4.05       498.4
 4.10       469.3
 4.15       451.0
 4.20       428.1
 4.25       435.0
 4.30       438.5
 4.35       437.7
 4.40       437.7
 4.45       444.5
 4.50       447.9
 4.55       437.5
 4.60       424.0
 4.65       407.3
 4.70       402.9
 4.75       419.8
 4.80       437.3
 4.85       455.2
 4.90       499.0
 4.95       514.2
 5.00       519.1
 5.05       543.1
 5.10       520.5
 5.15       527.4
 5.20       550.1
 5.25       574.8
 5.30       575.2
 5.35       577.6
 5.40       583.4
 5.45       592.2
 5.50       596.0
 5.55       608.9
 5.60       617.9
 5.65       619.4
 5.70       635.3
 5.75       647.8
 5.80       653.3
 5.85       626.4
 5.90       600.1
 5.95       602.0
 6.00       601.4
 6.05       592.2
 6.10       585.8
 6.15       585.8
 6.20       585.6
 6.25       587.3
 6.30       585.9
 6.35       577.7
 6.40       577.1
 6.45       583.5
 6.50       582.6
 6.55       587.0
 6.60       587.5
 6.65       584.2
 6.70       578.9
 6.75       576.1
 6.80       571.1
 6.85       578.6
 6.90       590.8
 6.95       598.7
 7.00       606.6
 7.05       612.2
 7.10       617.0
 7.15       614.9
 7.20       612.7
 7.25       609.4
 7.30       606.7
 7.35       605.0
 7.40       611.7
 7.45       631.4
 7.50       648.5
 7.55       661.7
 7.60       672.5
 7.65       680.6
 7.70       687.8
 7.75       694.1
 7.80       691.7
 7.85       689.1
 7.90       688.6
