0.0 0.0
1.5 3.5
1.55 5.4
1.6 14.6
1.65 25.3
1.7 46.3
1.75 77.4
1.8 143
1.85 211.9
1.9 248.5
1.95 232.8
2 172.5
2.05 125
2.1 103.9
2.15 86.4
2.2 82.2
2.25 75.7
2.3 65.4
2.35 55.9
2.4 58.9
2.45 61.4
2.5 73
2.55 91.1
2.6 103.2
2.65 111.2
2.7 109.1
2.75 102.9
2.8 94.7
2.85 85.3
2.9 76.6
2.95 68.3
3 60.7
3.05 58.6
3.1 59.6
3.15 61.2
3.2 61.8
3.25 61.6
3.3 62.7
3.35 65
3.4 66.6
3.45 66.8
3.5 67.9
3.55 72.3
3.6 76.9
3.65 81.4
3.7 84.4
3.75 85.9
3.8 86.7
3.85 87.1
3.9 92.1
3.95 140.1
4 345.1
4.05 278.1
4.1 240.3
4.15 219.3
4.2 203.9
4.25 220.4
4.3 236.2
4.35 251.2
4.4 253.1
4.45 260.4
4.5 265.8
4.55 265.2
4.6 262.3
4.65 255.3
4.7 247.9
4.75 251.7
4.8 258.6
4.85 270.8
4.9 300.9
4.95 322.1
5 326.1
5.05 354.4
5.1 344.5
5.15 326.3
5.2 330.5
5.25 339.2
5.3 339.1
5.35 328.4
5.4 319.4
5.45 319.9
5.5 320.2
5.55 325.1
5.6 324.3
5.65 318.2
5.7 331
5.75 337.1
5.8 334.4
5.85 295.2
5.9 257.9
5.95 251.7
6 244
6.05 232.1
6.1 217.5
6.15 205.7
6.2 193.7
6.25 182.4
6.3 175.4
6.35 164.1
6.4 155.9
6.45 152.9
6.5 146.9
6.55 141.5
6.6 134.5
6.65 128.2
6.7 121.4
6.75 119.9
6.8 117.1
6.85 115.9
6.9 116.9
6.95 116.5
7 115.7
7.05 109.7
7.1 103
7.15 102.5
7.2 100.9
7.25 93.7
7.3 87.8
7.35 85.5
7.4 88.9
7.45 101.2
7.5 110
7.55 114.8
7.6 119.2
7.65 123.1
7.7 126.5
7.75 129.5
7.8 128.8
7.85 127.9
7.9 126.6
