0.0 0.0
1.5 5.2
1.55 7.8
1.6 18.5
1.65 30.7
1.7 55.3
1.75 91.6
1.8 171.3
1.85 254.1
1.9 301.8
1.95 294.9
2 240.1
2.05 201.8
2.1 183.4
2.15 166.9
2.2 179.1
2.25 192.5
2.3 179.8
2.35 165.1
2.4 167.2
2.45 169.1
2.5 179.9
2.55 197.1
2.6 203.8
2.65 197
2.7 179.9
2.75 162.6
2.8 149.7
2.85 144.7
2.9 134.3
2.95 123
3 110
3.05 99.6
3.1 101.2
3.15 101.1
3.2 96.4
3.25 92.1
3.3 91.2
3.35 97.7
3.4 103.3
3.45 107.6
3.5 116.9
3.55 132.1
3.6 154.9
3.65 172.1
3.7 176.4
3.75 191.8
3.8 213.7
3.85 230.7
3.9 259.7
3.95 335.7
4 547.5
4.05 498.4
4.1 469.3
4.15 451
4.2 428
4.25 435
4.3 438.5
4.35 437.8
4.4 430.1
4.45 433.1
4.5 432.7
4.55 418.6
4.6 401.3
4.65 380.7
4.7 372.6
4.75 378.9
4.8 385.8
4.85 393.2
4.9 434.6
4.95 449.5
5 454
5.05 468.5
5.1 434.2
5.15 429.3
5.2 440.3
5.25 453.2
5.3 441.1
5.35 428
5.4 418.2
5.45 412.8
5.5 407.1
5.55 410.6
5.6 410.2
5.65 402.3
5.7 408.7
5.75 411.8
5.8 408
5.85 371.6
5.9 335.9
5.95 329.8
6 321.1
6.05 303.9
6.1 289.5
6.15 281.5
6.2 273
6.25 266.8
6.3 257.3
6.35 241
6.4 236.9
6.45 242.7
6.5 241.3
6.55 241.6
6.6 237.8
6.65 230.2
6.7 220.8
6.75 213.7
6.8 204.5
6.85 207.7
6.9 215.6
6.95 219.2
7 222.8
7.05 224.3
7.1 225.1
7.15 218.9
7.2 212.5
7.25 205.2
7.3 198.3
7.35 192.5
7.4 195.2
7.45 210.9
7.5 224.3
7.55 236.2
7.6 245.8
7.65 252.4
7.7 258.3
7.75 263.3
7.8 259.5
7.85 255.6
7.9 253.7
